id,user_id,file_name,file_size,path,proyecto,username
61795412-76fb-4a86-be1e-71fa41300fef,1000331005,ask_pass.sh,1,/mnt/asset_file_api/projects/61795412-76fb-4a86-be1e-71fa41300fef/1000331005/ask_pass.sh,galicia-project,jlara
61795412-76fb-4a86-be1e-71fa41300fef,1000331005,.METADATA,0,/mnt/asset_file_api/projects/61795412-76fb-4a86-be1e-71fa41300fef/1000331005/assets/.METADATA,galicia-project,jlara
61795412-76fb-4a86-be1e-71fa41300fef,1000331005,assets,0,/mnt/asset_file_api/projects/61795412-76fb-4a86-be1e-71fa41300fef/1000331005/assets,galicia-project,jlara
61795412-76fb-4a86-be1e-71fa41300fef,1000331005,assettypes,1,/mnt/asset_file_api/projects/61795412-76fb-4a86-be1e-71fa41300fef/1000331005/git/assettypes,galicia-project,jlara
61795412-76fb-4a86-be1e-71fa41300fef,1000331005,info,0,/mnt/asset_file_api/projects/61795412-76fb-4a86-be1e-71fa41300fef/1000331005/git/.git/objects/info,galicia-project,jlara
61795412-76fb-4a86-be1e-71fa41300fef,1000331005,pack,34045,/mnt/asset_file_api/projects/61795412-76fb-4a86-be1e-71fa41300fef/1000331005/git/.git/objects/pack,galicia-project,jlara
61795412-76fb-4a86-be1e-71fa41300fef,1000331005,objects,34045,/mnt/asset_file_api/projects/61795412-76fb-4a86-be1e-71fa41300fef/1000331005/git/.git/objects,galicia-project,jlara
61795412-76fb-4a86-be1e-71fa41300fef,1000331005,hooks,29,/mnt/asset_file_api/projects/61795412-76fb-4a86-be1e-71fa41300fef/1000331005/git/.git/hooks,galicia-project,jlara
61795412-76fb-4a86-be1e-71fa41300fef,1000331005,heads,1,/mnt/asset_file_api/projects/61795412-76fb-4a86-be1e-71fa41300fef/1000331005/git/.git/logs/refs/heads,galicia-project,jlara
61795412-76fb-4a86-be1e-71fa41300fef,1000331005,origin,1,/mnt/asset_file_api/projects/61795412-76fb-4a86-be1e-71fa41300fef/1000331005/git/.git/logs/refs/remotes/origin,galicia-project,jlara
61795412-76fb-4a86-be1e-71fa41300fef,1000331005,remotes,1,/mnt/asset_file_api/projects/61795412-76fb-4a86-be1e-71fa41300fef/1000331005/git/.git/logs/refs/remotes,galicia-project,jlara
61795412-76fb-4a86-be1e-71fa41300fef,1000331005,refs,1,/mnt/asset_file_api/projects/61795412-76fb-4a86-be1e-71fa41300fef/1000331005/git/.git/logs/refs,galicia-project,jlara
61795412-76fb-4a86-be1e-71fa41300fef,1000331005,logs,2,/mnt/asset_file_api/projects/61795412-76fb-4a86-be1e-71fa41300fef/1000331005/git/.git/logs,galicia-project,jlara
61795412-76fb-4a86-be1e-71fa41300fef,1000331005,info,1,/mnt/asset_file_api/projects/61795412-76fb-4a86-be1e-71fa41300fef/1000331005/git/.git/info,galicia-project,jlara
61795412-76fb-4a86-be1e-71fa41300fef,1000331005,tags,0,/mnt/asset_file_api/projects/61795412-76fb-4a86-be1e-71fa41300fef/1000331005/git/.git/refs/tags,galicia-project,jlara
61795412-76fb-4a86-be1e-71fa41300fef,1000331005,heads,1,/mnt/asset_file_api/projects/61795412-76fb-4a86-be1e-71fa41300fef/1000331005/git/.git/refs/heads,galicia-project,jlara
61795412-76fb-4a86-be1e-71fa41300fef,1000331005,origin,1,/mnt/asset_file_api/projects/61795412-76fb-4a86-be1e-71fa41300fef/1000331005/git/.git/refs/remotes/origin,galicia-project,jlara
61795412-76fb-4a86-be1e-71fa41300fef,1000331005,remotes,1,/mnt/asset_file_api/projects/61795412-76fb-4a86-be1e-71fa41300fef/1000331005/git/.git/refs/remotes,galicia-project,jlara
61795412-76fb-4a86-be1e-71fa41300fef,1000331005,refs,1,/mnt/asset_file_api/projects/61795412-76fb-4a86-be1e-71fa41300fef/1000331005/git/.git/refs,galicia-project,jlara
61795412-76fb-4a86-be1e-71fa41300fef,1000331005,branches,0,/mnt/asset_file_api/projects/61795412-76fb-4a86-be1e-71fa41300fef/1000331005/git/.git/branches,galicia-project,jlara
61795412-76fb-4a86-be1e-71fa41300fef,1000331005,.git,34082,/mnt/asset_file_api/projects/61795412-76fb-4a86-be1e-71fa41300fef/1000331005/git/.git,galicia-project,jlara
61795412-76fb-4a86-be1e-71fa41300fef,1000331005,data_asset,0,/mnt/asset_file_api/projects/61795412-76fb-4a86-be1e-71fa41300fef/1000331005/git/assets/data_asset,galicia-project,jlara
61795412-76fb-4a86-be1e-71fa41300fef,1000331005,.METADATA,10,/mnt/asset_file_api/projects/61795412-76fb-4a86-be1e-71fa41300fef/1000331005/git/assets/.METADATA,galicia-project,jlara
61795412-76fb-4a86-be1e-71fa41300fef,1000331005,assets,10,/mnt/asset_file_api/projects/61795412-76fb-4a86-be1e-71fa41300fef/1000331005/git/assets,galicia-project,jlara
61795412-76fb-4a86-be1e-71fa41300fef,1000331005,.ipynb_checkpoints,124,/mnt/asset_file_api/projects/61795412-76fb-4a86-be1e-71fa41300fef/1000331005/git/.ipynb_checkpoints,galicia-project,jlara
61795412-76fb-4a86-be1e-71fa41300fef,1000331005,git,82734,/mnt/asset_file_api/projects/61795412-76fb-4a86-be1e-71fa41300fef/1000331005/git,galicia-project,jlara
61795412-76fb-4a86-be1e-71fa41300fef,1000331005,.index.json,1,/mnt/asset_file_api/projects/61795412-76fb-4a86-be1e-71fa41300fef/1000331005/.index.json,galicia-project,jlara
